rank,channel_info,influence_score,old_posts,posts,old_followers,followers,old_avg_likes,avg_likes,60_day_eng_rate,old_new_post_avg_like,new_post_avg_like,old_total_likes,total_likes,country
1,cristiano,92,3.3k,3300,475.8m,475800000,8.7m,8700000,1.39%,6.5m,6500000,29.0b,29000000000,Spain
2,kyliejenner,91,6.9k,6900,366.2m,366200000,8.3m,8300000,1.62%,5.9m,5900000,57.4b,57400000000,United States
3,leomessi,90,0.89k,890,357.3m,357300000,6.8m,6800000,1.24%,4.4m,4400000,6.0b,6000000000,
4,selenagomez,93,1.8k,1800,342.7m,342700000,6.2m,6200000,0.97%,3.3m,3300000,11.5b,11500000000,United States
5,therock,91,6.8k,6800,334.1m,334100000,1.9m,1900000,0.20%,665.3k,665300,12.5b,12500000000,United States
6,kimkardashian,91,5.6k,5600,329.2m,329200000,3.5m,3500000,0.88%,2.9m,2900000,19.9b,19900000000,United States
7,arianagrande,92,5.0k,5000,327.7m,327700000,3.7m,3700000,1.20%,3.9m,3900000,18.4b,18400000000,United States
8,beyonce,92,2.0k,2000,272.8m,272800000,3.6m,3600000,0.76%,2.0m,2000000,7.4b,7400000000,United States
9,khloekardashian,89,4.1k,4100,268.3m,268300000,2.4m,2400000,0.35%,926.9k,926900,9.8b,9800000000,United States
10,justinbieber,91,7.4k,7400,254.5m,254500000,1.9m,1900000,0.59%,1.5m,1500000,13.9b,13900000000,Canada
11,kendalljenner,90,0.66k,660,254.0m,254000000,5.5m,5500000,2.04%,5.1m,5100000,3.7b,3700000000,United States
12,natgeo,91,10.0k,10000,237.0m,237000000,302.2k,302200,0.07%,159.3k,159300,3.0b,3000000000,United States
13,nike,90,0.95k,950,234.1m,234100000,329.0k,329000,0.08%,181.8k,181800,313.6m,313600000,United States
14,taylorswift,91,0.53k,530,222.2m,222200000,2.4m,2400000,1.01%,2.3m,2300000,1.3b,1300000000,United States
